client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
89;01/03/2021;1;0;0;1;0;13.8;0;0;0;0;4;0;2;0;0;9.094;null;332;null;0;0;0;0
200;01/11/2021;1;0;0;1;0;17.25;2;2;0;0;12;0;7;0;0;8.882;null;238;null;1;1;0;0
240;01/04/2022;1;1;0;1;0;6.9;1;0;0;0;0;0;5;0;0;9.245;9.204;59;1;1;0;7.9;0
400;01/11/2021;1;1;0;0;1;6.9;2;0;0;0;0;0;4;0;0;8.403;8.403;66;1;1;1;0;0
430;01/11/2021;1;1;0;1;0;4.6;3;0;0;0;1;0;12;0;0;8.272;8.081;77;1;1;0;-30.79;0
513;01/04/2022;1;0;0;1;0;3.45;4;1;0;0;7;0;11;0;0;8.328;null;312;null;0;0;68.96;0
519;01/06/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;7;0;0;7.495;null;40;null;0;1;0;0
715;01/09/2021;1;0;0;0;1;3.45;2;2;0;0;0;0;2;0;0;7.277;null;118;null;1;0;0;0
759;01/06/2021;1;1;0;1;0;6.9;2;2;0;0;0;0;3;0;0;6.887;6.879;74;1;1;1;0;0
773;01/03/2021;1;0;0;0;1;6.9;0;0;0;0;1;0;5;0;0;6.597;null;191;null;1;0;10.54;1
821;01/04/2022;1;0;0;0;1;3.45;5;1;2;1;0;0;14;0;0;4.145;null;661;null;0;0;0;0
822;01/12/2020;1;1;0;0;1;3.45;0;0;0;0;0;0;8;0;0;6.226;6.226;78;1;1;1;0;0
859;01/12/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;1;0;0;7.132;null;1;null;0;0;22.92;0
952;01/06/2021;1;0;0;0;1;6.9;2;2;0;0;0;0;2;0;0;6.457;null;190;null;1;0;0;0
958;01/01/2022;1;0;0;1;0;6.9;4;2;0;0;6;0;15;0;0;7.011;7.032;285;null;1;0;0;0
1013;01/02/2022;1;0;0;0;1;10.35;3;2;1;1;2;0;6;0;0;7.032;null;102;null;1;1;68.79;0
1060;01/11/2021;1;1;0;1;0;3.45;3;2;0;0;1;0;7;0;0;6.734;6.728;115;2;1;1;71.95;0
1113;01/01/2022;1;1;0;1;0;4.6;7;2;1;0;0;0;8;0;0;0.906;0.82;333;2;1;1;0;0
1162;01/09/2021;1;0;0;0;1;6.9;2;2;0;0;0;0;3;0;0;6.218;null;76;null;1;0;15.3;0
1197;01/04/2022;1;0;0;1;0;3.45;2;0;4;0;9;0;14;0;0;6.694;null;193;null;0;0;39.57;0
1236;01/06/2021;1;0;0;0;1;3.45;0;0;0;0;0;0;4;0;0;5.747;null;299;null;0;0;57.93;0
1256;01/09/2021;1;0;0;1;0;6.9;2;2;0;0;2;0;4;0;0;5.895;null;569;null;0;1;0;0
1486;01/08/2021;1;0;0;0;1;6.9;2;2;5;1;2;0;12;0;0;5.073;null;600;null;1;0;101.92;0
1519;01/04/2022;1;0;0;1;0;10.35;6;4;0;0;2;0;8;0;0;5.605;null;865;null;0;0;97.83;0
1651;01/01/2022;1;1;0;1;0;3.45;5;2;6;0;1;0;6;0;0;4.866;4.589;782;2;1;0;68.92;0
1652;01/04/2021;1;0;0;1;0;10.35;2;0;0;0;0;0;4;0;0;4.11;null;468;null;1;0;7.9;0
1674;01/10/2021;1;0;0;0;1;3.45;2;0;11;0;5;0;22;0;0;4.527;null;610;null;1;0;1022.8;0
1706;01/07/2021;1;1;0;1;0;10.35;3;2;0;0;1;0;5;0;0;4.124;1.656;609;1;1;1;0;0
1875;01/12/2020;1;0;0;1;0;6.9;0;0;0;0;3;0;17;0;0;2.777;null;112;null;1;1;272.68;0
1972;01/03/2022;1;0;0;0;1;10.35;5;1;7;0;1;0;11;0;0;3.61;null;909;null;0;0;146.77;0
2004;01/04/2022;1;1;0;0;1;10.35;4;1;1;0;0;0;1;0;0;3.5;3.538;456;1;1;1;78.64;0
2011;01/04/2021;1;0;0;0;1;3.45;2;2;0;0;0;0;5;1;0;2.567;null;2;null;1;1;0;0
2058;01/04/2022;1;1;0;0;1;3.45;5;3;3;0;2;0;12;0;0;3.395;3.384;392;2;1;1;0;0
2092;01/05/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;6;0;0;2.363;null;115;null;1;1;0;0
2108;01/09/2021;0;0;0;0;1;null;2;0;0;0;0;0;3;0;0;2.648;null;631;null;1;1;12.9;0
2118;01/12/2021;1;0;0;1;0;3.45;2;2;0;0;2;0;6;0;0;2.852;null;699;null;0;1;35.93;1
2200;01/12/2021;0;0;0;0;1;null;4;2;0;0;0;0;5;0;0;2.64;null;518;null;0;0;38.7;1
2317;01/03/2022;1;0;0;0;1;6.9;7;1;1;0;22;0;20;0;0;2.597;null;627;null;0;1;1601.9;0
2514;01/11/2020;0;0;0;0;1;null;0;0;0;0;2;0;4;0;0;1.019;null;118;null;0;0;1404.42;1
2546;01/11/2021;1;0;0;0;1;3.45;1;1;0;0;1;0;21;0;0;2.003;null;287;null;1;1;0;0
2586;01/11/2021;1;0;0;1;0;20.7;2;0;0;0;0;0;3;0;0;1.989;null;727;null;1;1;0;0
2597;01/03/2021;1;1;0;1;0;3.45;3;2;2;0;2;0;17;0;0;1.304;1.282;475;2;1;1;0;0
2673;01/10/2020;1;0;1;0;0;3.45;0;0;0;0;0;0;1;0;0;0.86;null;252;null;1;1;0;0
